name,effect,Var,14Q2,15Q2,16Q2,17Q2,NoSeason,Sum,reliability,geff.x,G
15Q2ALL55-0926,3.218022163,7.61089548,0,0,6,0,1,6,0.566817656,3.00343496,3.485001336
15Q2ALL55-0927,3.687254323,7.61089548,0,0,6,0,1,6,0.566817656,3.20064447,3.279723809
15Q2ALL55-0928,3.070489104,7.620031009,0,0,6,0,1,6,0.566297697,2.487716332,2.104681412
15Q2ALL55-0929,4.174698011,3.156404297,0,0,6,16,2,22,0.820349837,4.007300716,4.096230493
15Q2ALL55-0930,1.881036337,7.586618035,0,0,6,0,1,6,0.568199433,1.495698384,0.340951597
15Q2ALL55-0931,0.50317396,7.586618035,0,0,6,0,1,6,0.568199433,1.449956961,0.71624364
15Q2ALL55-0932,9.194542026,3.156404297,0,0,6,16,2,22,0.820349837,9.611119474,9.705950017
15Q2ALL55-0933,2.474489769,2.93917523,0,0,6,18,2,24,0.832713664,2.829376309,2.281286385
15Q2ALL55-0934,-2.076247793,7.589765765,0,0,6,0,1,6,0.568020276,-1.872449432,-2.940846575
15Q2ALL55-0935,-0.286360932,7.589765765,0,0,6,0,1,6,0.568020276,0.47323708,-1.403501698
15Q2ALL55-0936,-0.21619991,7.565498977,0,0,6,0,1,6,0.569401447,-0.331571396,-2.272409754
15Q2ALL55-0937,-0.965963758,7.565498977,0,0,6,0,1,6,0.569401447,-1.412527912,-3.126224789
15Q2ALL55-0938,3.319301964,7.565498977,0,0,6,0,1,6,0.569401447,3.771405203,1.791297664
15Q2ALL55-0939,-5.171694086,8.404263543,0,0,5,0,1,5,0.521662255,-4.675545832,-4.97614633
15Q2ALL55-0940,0.393631436,7.634579549,0,0,6,0,1,6,0.565469651,0.466378135,-0.529005816
15Q2ALL55-0941,2.251536948,7.566400045,0,0,6,0,1,6,0.569350162,1.665068543,0.282248056
15Q2ALL55-0942,-1.960223278,7.684697951,0,0,6,0,1,6,0.562617108,-1.956863347,-3.28618742
15Q2ALL55-0943,-0.462480115,7.696341201,0,0,6,0,1,6,0.56195442,-0.076038924,-0.076529262
15Q2ALL55-0944,-3.66863214,7.5641688,0,0,6,0,1,6,0.569477155,-3.726735822,-4.562133224
15Q2ALL55-0945,5.034517189,2.922976883,0,0,6,18,2,24,0.833635611,4.842887652,5.424728053
15Q2ALL55-0946,-0.479486395,7.603324657,0,0,6,0,1,6,0.567248557,-0.807705614,-1.478476518
15Q2ALL55-0947,-5.824293225,7.603324657,0,0,6,0,1,6,0.567248557,-5.627089012,-6.395555468
15Q2ALL55-0948,-5.522642337,7.589765765,0,0,6,0,1,6,0.568020276,-4.759320029,-5.959968713
15Q2ALL55-0949,-9.287576532,7.589765765,0,0,6,0,1,6,0.568020276,-10.44264031,-12.14548554
15Q2ALL55-0950,-6.372683584,7.589765765,0,0,6,0,1,6,0.568020276,-5.592880544,-6.896190343
15Q2ALL55-0951,-8.311553637,7.589765765,0,0,6,0,1,6,0.568020276,-8.586574714,-9.743093155
15Q2ALL55-0952,-6.585967465,7.589765765,0,0,6,0,1,6,0.568020276,-5.062606155,-5.949203893
15Q2ALL55-0953,0.263821203,7.598718616,0,0,6,0,1,6,0.567510715,0.017035862,-0.475634169
15Q2ALL55-0954,-5.49243971,7.598718616,0,0,6,0,1,6,0.567510715,-4.923782702,-5.89768623
15Q2ALL55-0955,-4.158139052,7.598718616,0,0,6,0,1,6,0.567510715,-3.078298448,-3.393753043
15Q2ALL55-0956,-4.895720885,7.598718616,0,0,6,0,1,6,0.567510715,-3.73844316,-4.320814855
15Q2ALL55-0957,-0.104629924,3.156475934,0,0,6,16,2,22,0.82034576,-0.002127025,-2.171300746
15Q2ALL55-0958,0.841214588,7.608555561,0,0,6,0,1,6,0.566950835,0.894529744,0.114361005
15Q2ALL55-0959,-0.884639532,7.608555561,0,0,6,0,1,6,0.566950835,-0.171228165,-0.976724841
15Q2ALL55-0960,-6.792585811,7.822666823,0,0,6,0,1,6,0.554764461,-5.958618313,-4.689511886
15Q2ALL55-0961,-3.903147526,7.822666823,0,0,6,0,1,6,0.554764461,-4.28545347,-2.98941376
15Q2ALL55-0962,3.320072609,7.708152915,0,0,6,0,1,6,0.561282144,4.602853247,4.064515633
15Q2ALL55-0963,3.759898505,7.708152915,0,0,6,0,1,6,0.561282144,3.08918016,2.475895851
15Q2ALL55-0964,-2.622515172,7.817030004,0,0,6,0,1,6,0.555085287,-2.485793755,-1.842511191
15Q2ALL55-0965,1.15297837,7.817030004,0,0,6,0,1,6,0.555085287,0.998812571,1.515877505
15Q2ALL55-0966,0.707205966,7.694051755,0,0,6,0,1,6,0.562084727,1.28667212,2.038412732
15Q2ALL55-0967,-6.816811189,7.729478024,0,0,6,0,1,6,0.560068402,-7.330160029,-6.50796838
15Q2ALL55-0968,-0.680988219,7.729478024,0,0,6,0,1,6,0.560068402,0.321943498,1.18648365
15Q2ALL55-0969,1.14485293,7.757779171,0,0,6,0,1,6,0.558457612,0.603170083,1.162390141
15Q2ALL55-0970,-0.592774503,7.757779171,0,0,6,0,1,6,0.558457612,-0.537946982,-0.053810843
15Q2ALL55-0971,-0.014820996,7.611876226,0,0,6,0,1,6,0.566761836,0.529544177,1.144500504
15Q2ALL55-0972,5.848296448,3.158507879,0,0,6,16,2,22,0.82023011,5.829529124,5.154080473
15Q2ALL55-0973,-3.966945097,2.963872634,0,0,6,18,2,24,0.831307985,-4.199493178,-6.221748255
15Q2ALL55-0974,-3.081151132,7.817079837,0,0,6,0,1,6,0.55508245,-4.335964664,-2.979426202
15Q2ALL55-0975,-5.186268473,7.834636163,0,0,6,0,1,6,0.554083213,-5.401859739,-3.824706537
15Q2ALL55-0976,1.84762922,7.696341201,0,0,6,0,1,6,0.56195442,2.674914867,2.087482911
15Q2ALL55-0977,-2.564568817,7.728838052,0,0,6,0,1,6,0.560104827,-2.602235203,-1.528199106
15Q2ALL55-0978,-3.912483656,7.728838052,0,0,6,0,1,6,0.560104827,-4.124921315,-2.833421122
15Q2ALL55-0979,-5.322267676,7.684697951,0,0,6,0,1,6,0.562617108,-5.480019994,-6.746191898
15Q2ALL55-0980,-6.779271549,7.684697951,0,0,6,0,1,6,0.562617108,-6.015306347,-7.263612349
15Q2ALL55-0981,-5.226120823,7.773129056,0,0,6,0,1,6,0.557583956,-5.13688398,-5.226282896
15Q2ALL55-0982,2.925076501,2.979665843,0,0,6,18,2,24,0.830409097,3.745599788,4.008935893
15Q2ALL55-0983,-1.358024066,7.92199345,0,0,6,0,1,6,0.549111179,-1.639273589,-0.975545564
15Q2ALL55-0984,-4.559477497,7.622928585,0,0,6,0,1,6,0.566132779,-5.141849962,-5.959576162
15Q2ALL55-0985,-1.233073399,7.72225229,0,0,6,0,1,6,0.560479663,-2.223170165,-2.012367393
15Q2ALL55-0986,0.846262799,7.877968312,0,0,6,0,1,6,0.551616917,1.026023649,2.010698688
15Q2ALL55-0987,0.510797194,7.634579549,0,0,6,0,1,6,0.565469651,0.080127005,-1.3601564
15Q2ALL55-0988,-2.027226047,7.634579549,0,0,6,0,1,6,0.565469651,-0.728875112,-1.784893417
15Q2ALL55-0989,-1.027903335,7.644544343,0,0,6,0,1,6,0.564902494,-1.091232593,-0.763446547
15Q2ALL55-0990,-2.751119134,7.644544343,0,0,6,0,1,6,0.564902494,-1.443895735,-0.81696217
15Q2ALL55-0991,2.960050208,7.644544343,0,0,6,0,1,6,0.564902494,3.228571486,3.370166654
15Q2ALL55-0992,-1.336003077,7.540317518,0,0,6,0,1,6,0.570834677,-0.682458265,-0.918709345
15Q2ALL55-0993,-7.880833417,7.620186255,0,0,6,0,1,6,0.566288861,-7.686449597,-5.628015651
15Q2ALL55-0994,1.128274285,7.725798652,0,0,6,0,1,6,0.560277818,0.702162572,1.221820929
15Q2ALL55-0995,-7.033797093,7.561748453,0,0,6,0,1,6,0.569614912,-7.250411891,-6.41485683
15Q2ALL55-0996,-0.830515476,7.561748453,0,0,6,0,1,6,0.569614912,-1.397304785,-0.306719378
15Q2ALL55-0997,-1.377104065,7.519459031,0,0,6,0,1,6,0.57202186,-0.131718455,-0.832382088
15Q2ALL55-0998,-2.299514399,7.519459031,0,0,6,0,1,6,0.57202186,-0.98174615,-1.198115286
15Q2ALL55-0999,0.221831954,7.605959502,0,0,6,0,1,6,0.567098592,0.729523002,0.443360377
15Q2ALL55-1000,-0.054250449,7.605959502,0,0,6,0,1,6,0.567098592,1.161666005,1.521413052
15Q2ALL55-1001,1.088876363,7.605959502,0,0,6,0,1,6,0.567098592,1.776506471,1.744260454
15Q2ALL55-1002,2.251972595,7.605959502,0,0,6,0,1,6,0.567098592,2.460110513,2.909549978
15Q2ALL55-1003,1.042873706,7.605959502,0,0,6,0,1,6,0.567098592,2.111027312,2.420340955
15Q2ALL55-1004,-1.313125442,7.605959502,0,0,6,0,1,6,0.567098592,-1.304551168,-1.271929984
15Q2ALL55-1005,3.552426448,2.941020222,0,0,6,18,2,24,0.832608655,4.984351764,4.929282585
15Q2ALL55-1006,-2.021396492,7.694051755,0,0,6,0,1,6,0.562084727,-2.494755653,-1.513264906
15Q2ALL55-1007,-0.730745848,7.694051755,0,0,6,0,1,6,0.562084727,-0.840234696,-0.553864157
15Q2ALL55-1008,-3.000297703,7.570599859,0,0,6,0,1,6,0.569111125,-4.42557758,-3.848376412
15Q2ALL55-1009,2.091856729,3.15049477,0,0,6,16,2,22,0.820686184,2.324817021,0.472914626
15Q2ALL55-1010,-2.76850291,7.625658733,0,0,6,0,1,6,0.565977389,-1.280383859,-0.158639468
15Q2ALL55-1011,-6.332435956,7.625658733,0,0,6,0,1,6,0.565977389,-6.325562068,-5.053571176
15Q2ALL55-1012,-6.248370981,7.625658733,0,0,6,0,1,6,0.565977389,-5.30582942,-3.68584687
15Q2ALL55-1013,-3.252390689,7.625658733,0,0,6,0,1,6,0.565977389,-4.314565492,-3.787367343
15Q2ALL55-1014,-12.53074459,7.653811449,0,0,6,0,1,6,0.564375047,-11.9355149,-10.92631931
15Q2ALL55-1015,0.701368044,7.731750099,0,0,6,0,1,6,0.559939085,-0.087852149,0.592742539
15Q2ALL55-1016,-0.182340979,7.731750099,0,0,6,0,1,6,0.559939085,0.023075823,0.616812478
15Q2ALL55-1017,0.704298908,7.597744604,0,0,6,0,1,6,0.567566152,-0.049748397,0.764300779
15Q2ALL55-1018,0.353100064,7.597744604,0,0,6,0,1,6,0.567566152,0.254971594,0.883048014
15Q2ALL55-1019,-1.766894981,7.625246328,0,0,6,0,1,6,0.566000862,-2.263333988,-1.424171252
15Q2ALL55-1020,5.815858074,2.928975492,0,0,6,18,2,24,0.833294193,6.497531955,7.134665777
15Q2ALL55-1021,2.78284227,7.557448201,0,0,6,0,1,6,0.569859666,2.495116753,2.625050458
15Q2ALL55-1022,-2.586199271,7.557448201,0,0,6,0,1,6,0.569859666,-2.438783449,-2.109329001
15Q2ALL55-1023,1.509955732,7.557448201,0,0,6,0,1,6,0.569859666,1.783685288,1.712573445
15Q2ALL55-1024,-0.237298461,7.557448201,0,0,6,0,1,6,0.569859666,0.609632158,0.829211388
15Q2ALL55-1025,-0.502782661,7.557448201,0,0,6,0,1,6,0.569859666,-0.513180673,-0.211700053
