"X1","X2","X3","X4"
1,1,2,0.378222359350195
2,1,3,0.471249290126846
3,1,4,0.485520105455892
4,1,5,0.346312523665968
5,1,6,0.485526498147512
6,1,7,0.518267955473991
7,1,8,0.474799778148634
8,1,9,0.49945215526301
9,1,10,0.308510003356367
10,1,11,0.356396810868088
11,1,12,0.30371138123124
12,1,13,0.49191420001779
13,1,14,0.528147623639322
14,1,15,0.403983282742268
15,1,16,0.459391780359094
16,1,17,0.483118427160013
17,1,18,0.270037832992599
18,1,19,0.673536847122492
19,1,20,0.420821522652964
20,1,21,0.312497274719404
21,1,22,0.420821522652964
22,1,23,0.377438190878428
23,1,24,0.531715021726149
24,1,25,0.561155494755585
25,1,26,0.686746747957463
26,1,27,0.770911722308788
27,1,28,0.617242097958406
28,1,29,0.601943512981057
29,1,30,0.654582078640211
30,1,31,0.581914167681455
31,1,32,0.417282566197044
32,1,33,0.44535808207657
33,1,34,0.629076951066076
34,1,35,0.59833152662353
35,1,36,0.45553873290653
36,1,37,0.526293911172409
37,1,38,0.52643706741561
38,1,39,0.523079898072855
39,1,40,0.618198407014291
40,1,41,0.411055591497153
41,1,42,0.556278028444989
42,1,43,0.499473702051965
43,1,44,0.551522902894771
44,1,45,0.493023615499686
45,2,3,0.350117192405448
46,2,4,0.364388007734494
47,2,5,0.22518042594457
48,2,6,0.364394400426114
49,2,7,0.397135857752593
50,2,8,0.353667680427236
51,2,9,0.378320057541612
53,2,11,0.23526471314669
54,2,12,0.182579283509842
55,2,13,0.370782102296392
56,2,14,0.407015525917924
57,2,15,0.28285118502087
58,2,16,0.338259682637696
59,2,17,0.361986329438615
61,2,19,0.552404749401094
62,2,20,0.299689424931566
64,2,22,0.299689424931566
65,2,23,0.25630609315703
66,2,24,0.41058292400475
67,2,25,0.440023397034187
68,2,26,0.565614650236065
69,2,27,0.649779624587389
70,2,28,0.496110000237008
71,2,29,0.480811415259658
72,2,30,0.533449980918813
73,2,31,0.460782069960057
74,2,32,0.296150468475646
75,2,33,0.324225984355171
76,2,34,0.507944853344678
77,2,35,0.477199428902132
78,2,36,0.334406635185131
79,2,37,0.405161813451011
80,2,38,0.405304969694212
81,2,39,0.401947800351457
82,2,40,0.497066309292892
83,2,41,0.289923493775755
84,2,42,0.435145930723591
85,2,43,0.378341604330567
86,2,44,0.430390805173372
87,2,45,0.371891517778288
88,3,4,0.457414938511144
89,3,5,0.31820735672122
90,3,6,0.457421331202765
91,3,7,0.490162788529244
92,3,8,0.446694611203887
93,3,9,0.471346988318263
94,3,10,0.28040483641162
95,3,11,0.32829164392334
96,3,12,0.275606214286492
97,3,13,0.463809033073043
98,3,14,0.500042456694575
99,3,15,0.375878115797521
100,3,16,0.431286613414347
101,3,17,0.455013260215266
102,3,18,0.241932666047852
103,3,19,0.645431680177744
104,3,20,0.392716355708217
105,3,21,0.284392107774656
106,3,22,0.392716355708217
107,3,23,0.349333023933681
108,3,24,0.503609854781401
109,3,25,0.533050327810837
110,3,26,0.658641581012716
111,3,27,0.74280655536404
112,3,28,0.589136931013659
113,3,29,0.573838346036309
114,3,30,0.626476911695464
115,3,31,0.553809000736708
116,3,32,0.389177399252297
117,3,33,0.417252915131822
118,3,34,0.600971784121329
119,3,35,0.570226359678783
120,3,36,0.427433565961782
121,3,37,0.498188744227662
122,3,38,0.498331900470863
123,3,39,0.494974731128108
124,3,40,0.590093240069543
125,3,41,0.382950424552405
126,3,42,0.528172861500242
127,3,43,0.471368535107217
128,3,44,0.523417735950023
129,3,45,0.464918448554938
130,4,5,0.332478172050266
131,4,6,0.47169214653181
132,4,7,0.50443360385829
133,4,8,0.460965426532933
134,4,9,0.485617803647308
135,4,10,0.294675651740666
136,4,11,0.342562459252386
137,4,12,0.289877029615538
138,4,13,0.478079848402089
139,4,14,0.51431327202362
140,4,15,0.390148931126567
141,4,16,0.445557428743392
142,4,17,0.469284075544312
143,4,18,0.256203481376897
144,4,19,0.65970249550679
145,4,20,0.406987171037263
146,4,21,0.298662923103702
147,4,22,0.406987171037263
148,4,23,0.363603839262727
149,4,24,0.517880670110447
150,4,25,0.547321143139883
151,4,26,0.672912396341762
152,4,27,0.757077370693086
153,4,28,0.603407746342705
154,4,29,0.588109161365355
155,4,30,0.640747727024509
156,4,31,0.568079816065754
157,4,32,0.403448214581343
158,4,33,0.431523730460868
159,4,34,0.615242599450374
160,4,35,0.584497175007829
161,4,36,0.441704381290828
162,4,37,0.512459559556707
163,4,38,0.512602715799909
164,4,39,0.509245546457153
165,4,40,0.604364055398589
166,4,41,0.397221239881451
167,4,42,0.542443676829288
168,4,43,0.485639350436263
169,4,44,0.537688551279069
170,4,45,0.479189263883984
171,5,6,0.332484564741886
172,5,7,0.365226022068366
173,5,8,0.321757844743009
174,5,9,0.346410221857384
178,5,13,0.338872266612165
179,5,14,0.375105690233696
180,5,15,0.250941349336643
181,5,16,0.306349846953468
182,5,17,0.330076493754388
184,5,19,0.520494913716866
185,5,20,0.267779589247339
187,5,22,0.267779589247339
188,5,23,0.224396257472803
189,5,24,0.378673088320523
190,5,25,0.408113561349959
191,5,26,0.533704814551838
192,5,27,0.617869788903162
193,5,28,0.464200164552781
194,5,29,0.448901579575431
195,5,30,0.501540145234585
196,5,31,0.42887223427583
197,5,32,0.264240632791419
198,5,33,0.292316148670944
199,5,34,0.47603501766045
200,5,35,0.445289593217905
201,5,36,0.302496799500904
202,5,37,0.373251977766783
203,5,38,0.373395134009985
204,5,39,0.37003796466723
205,5,40,0.465156473608665
206,5,41,0.258013658091527
207,5,42,0.403236095039364
208,5,43,0.346431768646339
209,5,44,0.398480969489145
210,5,45,0.33998168209406
211,6,7,0.50443999654991
212,6,8,0.460971819224553
213,6,9,0.485624196338929
214,6,10,0.294682044432286
215,6,11,0.342568851944006
216,6,12,0.289883422307158
217,6,13,0.478086241093709
218,6,14,0.514319664715241
219,6,15,0.390155323818187
220,6,16,0.445563821435013
221,6,17,0.469290468235932
222,6,18,0.256209874068518
223,6,19,0.65970888819841
224,6,20,0.406993563728883
225,6,21,0.298669315795322
226,6,22,0.406993563728883
227,6,23,0.363610231954347
228,6,24,0.517887062802067
229,6,25,0.547327535831503
